epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2615814208984375,12.230999946594238,1e-04,0.2052176296710968,12.11810302734375
1,0.3194274604320526,9.626437187194824,1e-04,0.3957868218421936,8.329026222229004
2,0.36257636547088623,7.276009559631348,1e-04,0.4029017984867096,6.244452476501465
3,0.3880956470966339,5.426618576049805,1e-04,0.4553571343421936,4.552183151245117
4,0.4187816381454468,4.090930938720703,1e-04,0.4808872640132904,3.459554672241211
5,0.454285204410553,3.161696434020996,1e-04,0.4886997640132904,2.7042667865753174
6,0.4691918194293976,2.5582871437072754,1e-04,0.5301339030265808,2.241011619567871
7,0.49450165033340454,2.1572868824005127,1e-04,0.5350167155265808,1.937597632408142
8,0.508116602897644,1.9077306985855103,1e-04,0.5272042155265808,1.7901793718338013
9,0.5195322036743164,1.74498450756073,1e-04,0.5389229655265808,1.6251108646392822
10,0.5341944694519043,1.6255606412887573,1e-04,0.5749163031578064,1.468794584274292
11,0.5455751419067383,1.5329807996749878,1e-04,0.5672432780265808,1.4570969343185425
12,0.5543724894523621,1.4666610956192017,1e-04,0.5648716688156128,1.4189859628677368
13,0.5649502277374268,1.4163426160812378,1e-04,0.5877510905265808,1.3393325805664062
14,0.5726304650306702,1.370615005493164,1e-04,0.5701729655265808,1.3496034145355225
15,0.5797870755195618,1.3373570442199707,1e-04,0.5876116156578064,1.319434404373169
16,0.5873974561691284,1.3099066019058228,1e-04,0.6028180718421936,1.2754037380218506
17,0.5980101227760315,1.2794643640518188,1e-04,0.6000279188156128,1.2754909992218018
18,0.5996159911155701,1.2650697231292725,1e-04,0.6139788031578064,1.2201017141342163
19,0.6065281629562378,1.2457189559936523,1e-04,0.5964006781578064,1.2603204250335693
20,0.6100541353225708,1.227396845817566,1e-04,0.6085379719734192,1.2340275049209595
21,0.6160586476325989,1.2143282890319824,1e-04,0.6215122938156128,1.1873034238815308
22,0.6214697360992432,1.1993924379348755,1e-04,0.6209542155265808,1.205099105834961
23,0.6247163414955139,1.1841235160827637,1e-04,0.6135602593421936,1.2297364473342896
24,0.6280328035354614,1.1788016557693481,1e-04,0.6307198405265808,1.1800662279129028
25,0.6299877762794495,1.1616730690002441,1e-04,0.6276506781578064,1.1975704431533813
26,0.6351544857025146,1.1509056091308594,1e-04,0.6294642686843872,1.1849018335342407
27,0.6410892009735107,1.1388721466064453,1e-04,0.623046875,1.1915720701217651
28,0.6459416747093201,1.130549669265747,1e-04,0.6449497938156128,1.137570858001709
29,0.6489090323448181,1.1186028718948364,1e-04,0.6418805718421936,1.1305537223815918
30,0.6480363011360168,1.1151793003082275,1e-04,0.6417410969734192,1.1632581949234009
31,0.6564147472381592,1.100309133529663,1e-04,0.650390625,1.1343542337417603
32,0.662628710269928,1.091447114944458,1e-04,0.63671875,1.158331274986267
33,0.6614068746566772,1.0911197662353516,1e-04,0.6410435438156128,1.1758414506912231
34,0.6702391505241394,1.072114109992981,1e-04,0.6495535969734192,1.1620177030563354
35,0.6694362163543701,1.0691077709197998,1e-04,0.6448102593421936,1.1336268186569214
36,0.6986908912658691,0.9956166744232178,2e-05,0.6665736436843872,1.0962939262390137
37,0.7087100744247437,0.9639459252357483,2e-05,0.6706194281578064,1.0829929113388062
38,0.7170186638832092,0.9439665675163269,2e-05,0.6707589030265808,1.0898176431655884
39,0.7204938530921936,0.9288056492805481,2e-05,0.666015625,1.0899029970169067
40,0.7210333347320557,0.9178769588470459,2e-05,0.6706194281578064,1.0853497982025146
41,0.7232676148414612,0.9087164402008057,2e-05,0.6708984375,1.078508973121643
42,0.7280153632164001,0.8949779272079468,2e-05,0.6782923936843872,1.0674861669540405
43,0.7278757095336914,0.8936460614204407,2e-05,0.6713169813156128,1.077449083328247
44,0.7313318252563477,0.8857201933860779,2e-05,0.6728515625,1.0627377033233643
45,0.7325536608695984,0.8805497288703918,2e-05,0.6763392686843872,1.0596082210540771
46,0.7351370453834534,0.8654628992080688,2e-05,0.6787109375,1.0489705801010132
47,0.7414906620979309,0.8557345867156982,2e-05,0.6749442219734192,1.0646666288375854
48,0.7394309639930725,0.8506307601928711,2e-05,0.6763392686843872,1.0573890209197998
49,0.7422935962677002,0.8466444611549377,2e-05,0.6801060438156128,1.06657874584198
50,0.7475301027297974,0.8323646187782288,2e-05,0.6742466688156128,1.061429500579834
51,0.7497294545173645,0.8289888501167297,2e-05,0.6775948405265808,1.051208257675171
52,0.7506371140480042,0.8254187703132629,2e-05,0.6792689561843872,1.0558838844299316
53,0.7554895877838135,0.8094009757041931,4e-06,0.6851283311843872,1.0459325313568115
54,0.7594693899154663,0.8016561269760132,4e-06,0.6828961968421936,1.0524287223815918
55,0.7625414729118347,0.7963405251502991,4e-06,0.6838727593421936,1.046396017074585
56,0.7576191425323486,0.8006243109703064,4e-06,0.6830357313156128,1.0442038774490356
57,0.7610403299331665,0.7952697277069092,4e-06,0.6826171875,1.0482529401779175
58,0.7618781924247742,0.792550802230835,4e-06,0.6861048936843872,1.047232985496521
59,0.7610752582550049,0.7890415191650391,4e-06,0.6852678656578064,1.0475819110870361
